entity_a,entity_b,relationship_type,strength
Jeffrey Epstein,Sergey Brin,co-mentioned,4
Jeffrey Epstein,Eva Dubin,co-passenger,4
Laura Menninger,David Boies,co-mentioned,4
Julie K. Brown,Ghislaine Maxwell,co-mentioned,4
Bill Clinton,Robert Maxwell,co-mentioned,4
Donald Trump,Robert Maxwell,co-mentioned,4
Bill Clinton,Geoffrey Berman,co-mentioned,4
Jeffrey Epstein,Alison Moe,co-mentioned,4
David Boies,Brad Edwards,co-mentioned,4
Jeffrey Epstein,Damian Williams,co-mentioned,4
Alexander Acosta,Ghislaine Maxwell,co-mentioned,4
Ghislaine Maxwell,Paul Cassell,co-mentioned,4
Jeffrey Epstein,George Mitchell,social-associate,4
Glenn Dubin,Ghislaine Maxwell,co-passenger,4
Harvey Weinstein,David Copperfield,co-mentioned,3
Alan Dershowitz,George Mitchell,co-mentioned,3
Jeffrey Epstein,Ehud Barak,social-associate,3
Naomi Campbell,Prince Andrew,co-mentioned,3
Alan Dershowitz,Bill Richardson,co-mentioned,3
Jeffrey Epstein,USVI Attorney General,co-mentioned,3
Bill Clinton,Julie K. Brown,co-mentioned,3
Julie K. Brown,Prince Andrew,co-mentioned,3
Jean-Luc Brunel,Prince Andrew,co-mentioned,3
Virginia Giuffre,Mar-a-Lago,co-mentioned,3
Denise George,USVI Attorney General,co-mentioned,3
Little St. James Island,USVI Attorney General,co-mentioned,3
Alexander Acosta,Paul Cassell,co-mentioned,3
Alexander Acosta,Brad Edwards,co-mentioned,3
Haley Robson,Palm Beach Police Department,co-mentioned,3
Deutsche Bank,Jeffrey Epstein,banking,3
Eva Dubin,Glenn Dubin,co-passenger,3
JPMorgan Chase,Jes Staley,co-mentioned,3
Alan Dershowitz,Alexander Acosta,co-mentioned,3
Richard Berman,Ghislaine Maxwell,co-mentioned,3
Jeffrey Epstein,Peter Mandelson,co-mentioned,3
Leslie Wexner,Prince Andrew,co-mentioned,3
Donald Trump,Glenn Dubin,co-mentioned,3
Bill Clinton,Sergey Brin,co-mentioned,3
Bill Clinton,Glenn Dubin,co-mentioned,3
Donald Trump,David Copperfield,co-mentioned,3
Donald Trump,Michael Jackson,co-mentioned,3
Jeffrey Epstein,Lesley Groff,employee,3
Jeffrey Epstein,Mar-a-Lago,co-mentioned,3
Bill Clinton,Alan Dershowitz,co-mentioned,3
Great St. James Island,Jeffrey Epstein,co-mentioned,3
Bill Clinton,David Copperfield,co-mentioned,3
Bill Clinton,Jean-Luc Brunel,co-mentioned,3
Joseph Recarey,Michael Reiter,co-mentioned,3
Bill Clinton,George Mitchell,co-mentioned,3
