entity_a,entity_b,relationship_type,strength
Bill Clinton,Stephen Hawking,co-mentioned,2
Bill Clinton,Demi Moore,co-mentioned,2
Bill Clinton,Henry Kissinger,co-mentioned,2
Victoria's Secret,Manhattan Townhouse,co-mentioned,2
Bill Clinton,Tony Blair,co-mentioned,2
Victoria's Secret,L Brands,co-mentioned,2
Bill Clinton,Woody Allen,co-mentioned,2
Bill Clinton,Itzhak Perlman,co-mentioned,2
Bill Clinton,Rupert Murdoch,co-mentioned,2
Bill Gates,Manhattan Townhouse,co-mentioned,2
Bill Clinton,Michael Jackson,co-mentioned,2
Rupert Murdoch,Prince Andrew,co-mentioned,2
Itzhak Perlman,Michael Jackson,co-mentioned,2
Itzhak Perlman,Prince Andrew,co-mentioned,2
Jeffrey Epstein,L Brands,co-mentioned,2
Manhattan Townhouse,L Brands,co-mentioned,2
Harvey Weinstein,Jean-Luc Brunel,co-mentioned,2
Marvin Minsky,Denise George,co-mentioned,2
Harvey Weinstein,George Mitchell,co-mentioned,2
Itzhak Perlman,Rupert Murdoch,co-mentioned,2
Zorro Ranch,George Mitchell,co-mentioned,2
Donald Trump,Noam Chomsky,co-mentioned,2
Alexander Acosta,Sergey Brin,co-mentioned,1
Southern District of New York (SDNY),Jeffrey Epstein,prosecution,1
Manhattan Townhouse,Prince Andrew,co-mentioned,1
Harvey Weinstein,Nadia Marcinkova,co-mentioned,1
Harvey Weinstein,Zorro Ranch,co-mentioned,1
Harvey Weinstein,Virginia Giuffre,co-mentioned,1
Harvey Weinstein,Marvin Minsky,co-mentioned,1
Harvey Weinstein,MC2 Model Management,co-mentioned,1
Harvey Weinstein,Robert Giuffre,co-mentioned,1
Harvey Weinstein,Adriana Ross,co-mentioned,1
Harvey Weinstein,Mar-a-Lago,co-mentioned,1
Harvey Weinstein,Sarah Kellen,co-mentioned,1
Harvey Weinstein,Denise George,co-mentioned,1
Harvey Weinstein,Little St. James Island,co-mentioned,1
Bill Clinton,Nadia Marcinkova,co-mentioned,1
Bill Clinton,Zorro Ranch,co-mentioned,1
Bill Clinton,Virginia Giuffre,co-mentioned,1
Bill Clinton,MC2 Model Management,co-mentioned,1
Bill Clinton,Robert Giuffre,co-mentioned,1
Bill Clinton,Adriana Ross,co-mentioned,1
Bill Clinton,Mar-a-Lago,co-mentioned,1
Bill Clinton,Sarah Kellen,co-mentioned,1
Ehud Barak,Nadia Marcinkova,co-mentioned,1
Ehud Barak,Zorro Ranch,co-mentioned,1
Ehud Barak,Marvin Minsky,co-mentioned,1
Ehud Barak,MC2 Model Management,co-mentioned,1
Ehud Barak,Robert Giuffre,co-mentioned,1
Ehud Barak,Adriana Ross,co-mentioned,1
Ehud Barak,Mar-a-Lago,co-mentioned,1
Ehud Barak,Sarah Kellen,co-mentioned,1
Ehud Barak,Denise George,co-mentioned,1
Ehud Barak,Little St. James Island,co-mentioned,1
Nadia Marcinkova,Donald Trump,co-mentioned,1
Nadia Marcinkova,Zorro Ranch,co-mentioned,1
Nadia Marcinkova,Virginia Giuffre,co-mentioned,1
Nadia Marcinkova,Marvin Minsky,co-mentioned,1
Nadia Marcinkova,Glenn Dubin,co-mentioned,1
Nadia Marcinkova,David Copperfield,co-mentioned,1
Nadia Marcinkova,MC2 Model Management,co-mentioned,1
Nadia Marcinkova,George Mitchell,co-mentioned,1
Nadia Marcinkova,Robert Giuffre,co-mentioned,1
Nadia Marcinkova,Mar-a-Lago,co-mentioned,1
Nadia Marcinkova,Bill Richardson,co-mentioned,1
Nadia Marcinkova,Prince Andrew,co-mentioned,1
Nadia Marcinkova,Denise George,co-mentioned,1
Nadia Marcinkova,Little St. James Island,co-mentioned,1
Donald Trump,Zorro Ranch,co-mentioned,1
Donald Trump,Marvin Minsky,co-mentioned,1
Donald Trump,MC2 Model Management,co-mentioned,1
Donald Trump,Robert Giuffre,co-mentioned,1
Donald Trump,Adriana Ross,co-mentioned,1
Donald Trump,Sarah Kellen,co-mentioned,1
Donald Trump,Denise George,co-mentioned,1
Donald Trump,Little St. James Island,co-mentioned,1
Zorro Ranch,Alan Dershowitz,co-mentioned,1
Zorro Ranch,Marvin Minsky,co-mentioned,1
Zorro Ranch,Glenn Dubin,co-mentioned,1
Zorro Ranch,David Copperfield,co-mentioned,1
Zorro Ranch,Jean-Luc Brunel,co-mentioned,1
Zorro Ranch,MC2 Model Management,co-mentioned,1
Zorro Ranch,Robert Giuffre,co-mentioned,1
Zorro Ranch,Adriana Ross,co-mentioned,1
Zorro Ranch,Mar-a-Lago,co-mentioned,1
Zorro Ranch,Prince Andrew,co-mentioned,1
Zorro Ranch,Sarah Kellen,co-mentioned,1
Alan Dershowitz,MC2 Model Management,co-mentioned,1
Alan Dershowitz,Robert Giuffre,co-mentioned,1
Alan Dershowitz,Mar-a-Lago,co-mentioned,1
Alan Dershowitz,Denise George,co-mentioned,1
Alan Dershowitz,Little St. James Island,co-mentioned,1
Virginia Giuffre,Marvin Minsky,co-mentioned,1
Virginia Giuffre,Glenn Dubin,co-mentioned,1
Virginia Giuffre,David Copperfield,co-mentioned,1
Virginia Giuffre,Adriana Ross,co-mentioned,1
Virginia Giuffre,Sarah Kellen,co-mentioned,1
Virginia Giuffre,Little St. James Island,co-mentioned,1
Marvin Minsky,Glenn Dubin,co-mentioned,1
Marvin Minsky,David Copperfield,co-mentioned,1
Marvin Minsky,Jean-Luc Brunel,co-mentioned,1
Marvin Minsky,MC2 Model Management,co-mentioned,1
Marvin Minsky,Robert Giuffre,co-mentioned,1
Marvin Minsky,Adriana Ross,co-mentioned,1
Marvin Minsky,Mar-a-Lago,co-mentioned,1
Marvin Minsky,Sarah Kellen,co-mentioned,1
Glenn Dubin,MC2 Model Management,co-mentioned,1
Glenn Dubin,Robert Giuffre,co-mentioned,1
Glenn Dubin,Adriana Ross,co-mentioned,1
Glenn Dubin,Mar-a-Lago,co-mentioned,1
Glenn Dubin,Sarah Kellen,co-mentioned,1
Glenn Dubin,Denise George,co-mentioned,1
Glenn Dubin,Little St. James Island,co-mentioned,1
David Copperfield,MC2 Model Management,co-mentioned,1
David Copperfield,Robert Giuffre,co-mentioned,1
David Copperfield,Ghislaine Maxwell,co-mentioned,1
David Copperfield,Adriana Ross,co-mentioned,1
David Copperfield,Mar-a-Lago,co-mentioned,1
David Copperfield,Sarah Kellen,co-mentioned,1
David Copperfield,Denise George,co-mentioned,1
David Copperfield,Little St. James Island,co-mentioned,1
Jean-Luc Brunel,Robert Giuffre,co-mentioned,1
Jean-Luc Brunel,Adriana Ross,co-mentioned,1
Jean-Luc Brunel,Mar-a-Lago,co-mentioned,1
Jean-Luc Brunel,Denise George,co-mentioned,1
Jean-Luc Brunel,Little St. James Island,co-mentioned,1
MC2 Model Management,George Mitchell,co-mentioned,1
MC2 Model Management,Robert Giuffre,co-mentioned,1
MC2 Model Management,Adriana Ross,co-mentioned,1
MC2 Model Management,Mar-a-Lago,co-mentioned,1
MC2 Model Management,Bill Richardson,co-mentioned,1
MC2 Model Management,Prince Andrew,co-mentioned,1
MC2 Model Management,Sarah Kellen,co-mentioned,1
MC2 Model Management,Denise George,co-mentioned,1
MC2 Model Management,Little St. James Island,co-mentioned,1
George Mitchell,Robert Giuffre,co-mentioned,1
George Mitchell,Adriana Ross,co-mentioned,1
George Mitchell,Mar-a-Lago,co-mentioned,1
George Mitchell,Sarah Kellen,co-mentioned,1
George Mitchell,Little St. James Island,co-mentioned,1
Robert Giuffre,Adriana Ross,co-mentioned,1
Robert Giuffre,Bill Richardson,co-mentioned,1
Robert Giuffre,Prince Andrew,co-mentioned,1
Robert Giuffre,Sarah Kellen,co-mentioned,1
Robert Giuffre,Denise George,co-mentioned,1
Robert Giuffre,Little St. James Island,co-mentioned,1
Ghislaine Maxwell,Adriana Ross,co-mentioned,1
Ghislaine Maxwell,Little St. James Island,co-mentioned,1
Adriana Ross,Mar-a-Lago,co-mentioned,1
Adriana Ross,Bill Richardson,co-mentioned,1
Adriana Ross,Prince Andrew,co-mentioned,1
Adriana Ross,Denise George,co-mentioned,1
Adriana Ross,Little St. James Island,co-mentioned,1
Mar-a-Lago,Bill Richardson,co-mentioned,1
Mar-a-Lago,Prince Andrew,co-mentioned,1
Mar-a-Lago,Sarah Kellen,co-mentioned,1
Mar-a-Lago,Denise George,co-mentioned,1
Mar-a-Lago,Little St. James Island,co-mentioned,1
Bill Richardson,Sarah Kellen,co-mentioned,1
Bill Richardson,Little St. James Island,co-mentioned,1
Prince Andrew,Sarah Kellen,co-mentioned,1
Prince Andrew,Denise George,co-mentioned,1
Prince Andrew,Little St. James Island,co-mentioned,1
Sarah Kellen,Denise George,co-mentioned,1
Sarah Kellen,Little St. James Island,co-mentioned,1
Ehud Barak,Leslie Wexner,co-mentioned,1
Ehud Barak,Noam Chomsky,co-mentioned,1
Ehud Barak,Peter Mandelson,co-mentioned,1
Ehud Barak,Tom Barrack,co-mentioned,1
Ehud Barak,Stephen Hawking,co-mentioned,1
Ehud Barak,Naomi Campbell,co-mentioned,1
Ehud Barak,Demi Moore,co-mentioned,1
Ehud Barak,Henry Kissinger,co-mentioned,1
Ehud Barak,Tony Blair,co-mentioned,1
Ehud Barak,Sergey Brin,co-mentioned,1
Ehud Barak,Woody Allen,co-mentioned,1
Ehud Barak,Itzhak Perlman,co-mentioned,1
Ehud Barak,Rupert Murdoch,co-mentioned,1
Ehud Barak,Michael Jackson,co-mentioned,1
Leslie Wexner,Alan Dershowitz,co-mentioned,1
Leslie Wexner,Jean-Luc Brunel,co-mentioned,1
Leslie Wexner,Bill Richardson,co-mentioned,1
Alan Dershowitz,Noam Chomsky,co-mentioned,1
Alan Dershowitz,Peter Mandelson,co-mentioned,1
Alan Dershowitz,Tom Barrack,co-mentioned,1
Alan Dershowitz,Stephen Hawking,co-mentioned,1
Alan Dershowitz,Naomi Campbell,co-mentioned,1
Alan Dershowitz,Demi Moore,co-mentioned,1
Alan Dershowitz,Henry Kissinger,co-mentioned,1
Alan Dershowitz,Tony Blair,co-mentioned,1
Alan Dershowitz,Sergey Brin,co-mentioned,1
Alan Dershowitz,Woody Allen,co-mentioned,1
Alan Dershowitz,Itzhak Perlman,co-mentioned,1
Alan Dershowitz,Rupert Murdoch,co-mentioned,1
Alan Dershowitz,Michael Jackson,co-mentioned,1
Noam Chomsky,Jean-Luc Brunel,co-mentioned,1
Noam Chomsky,George Mitchell,co-mentioned,1
Noam Chomsky,Bill Richardson,co-mentioned,1
Peter Mandelson,Jean-Luc Brunel,co-mentioned,1
Peter Mandelson,George Mitchell,co-mentioned,1
Peter Mandelson,Bill Richardson,co-mentioned,1
Tom Barrack,Jean-Luc Brunel,co-mentioned,1
Tom Barrack,George Mitchell,co-mentioned,1
Tom Barrack,Bill Richardson,co-mentioned,1
Stephen Hawking,Jean-Luc Brunel,co-mentioned,1
Stephen Hawking,George Mitchell,co-mentioned,1
Stephen Hawking,Bill Richardson,co-mentioned,1
Naomi Campbell,George Mitchell,co-mentioned,1
Naomi Campbell,Bill Richardson,co-mentioned,1
Demi Moore,Jean-Luc Brunel,co-mentioned,1
Demi Moore,George Mitchell,co-mentioned,1
Demi Moore,Bill Richardson,co-mentioned,1
Manhattan Townhouse,Reid Hoffman,co-mentioned,1
Teterboro Airport,Southern District of New York (SDNY),co-mentioned,1
Teterboro Airport,Miami Herald,co-mentioned,1
Teterboro Airport,Julie K. Brown,co-mentioned,1
Teterboro Airport,Federal Bureau of Investigation,co-mentioned,1
Southern District of New York (SDNY),Miami Herald,co-mentioned,1
Southern District of New York (SDNY),Julie K. Brown,co-mentioned,1
Miami Herald,Federal Bureau of Investigation,co-mentioned,1
Julie K. Brown,Federal Bureau of Investigation,co-mentioned,1
JPMorgan Chase,Barclays,co-mentioned,1
Nadia Marcinkova,Haley Robson,co-mentioned,1
Nadia Marcinkova,Palm Beach Mansion,co-mentioned,1
Nadia Marcinkova,Joseph Recarey,co-mentioned,1
Nadia Marcinkova,Palm Beach Police Department,co-mentioned,1
Nadia Marcinkova,Federal Bureau of Investigation,co-mentioned,1
Nadia Marcinkova,Michael Reiter,co-mentioned,1
Haley Robson,Palm Beach Mansion,co-mentioned,1
Haley Robson,Lesley Groff,co-mentioned,1
Haley Robson,Sarah Kellen,co-mentioned,1
Haley Robson,Federal Bureau of Investigation,co-mentioned,1
Palm Beach Mansion,Lesley Groff,co-mentioned,1
Palm Beach Mansion,Sarah Kellen,co-mentioned,1
Palm Beach Mansion,Federal Bureau of Investigation,co-mentioned,1
Joseph Recarey,Lesley Groff,co-mentioned,1
Joseph Recarey,Sarah Kellen,co-mentioned,1
Joseph Recarey,Federal Bureau of Investigation,co-mentioned,1
Lesley Groff,Palm Beach Police Department,co-mentioned,1
Lesley Groff,Michael Reiter,co-mentioned,1
Palm Beach Police Department,Sarah Kellen,co-mentioned,1
Palm Beach Police Department,Federal Bureau of Investigation,co-mentioned,1
Sarah Kellen,Michael Reiter,co-mentioned,1
Federal Bureau of Investigation,Michael Reiter,co-mentioned,1
Donald Trump,Palm Beach Mansion,co-mentioned,1
Donald Trump,Juan Alessi,co-mentioned,1
Virginia Giuffre,Palm Beach Mansion,co-mentioned,1
Virginia Giuffre,Juan Alessi,co-mentioned,1
Palm Beach Mansion,Juan Alessi,co-mentioned,1
Palm Beach Mansion,Prince Andrew,co-mentioned,1
Juan Alessi,Prince Andrew,co-mentioned,1
Virginia Giuffre,Robert Maxwell,co-mentioned,1
Maurene Comey,Bobbi Sternheim,co-mentioned,1
Maurene Comey,Laura Menninger,co-mentioned,1
Maurene Comey,Robert Maxwell,co-mentioned,1
Bobbi Sternheim,Robert Maxwell,co-mentioned,1
Bobbi Sternheim,Alison Moe,co-mentioned,1
Henry Kissinger,Jean-Luc Brunel,co-mentioned,1
Henry Kissinger,George Mitchell,co-mentioned,1
Henry Kissinger,Bill Richardson,co-mentioned,1
Tony Blair,Jean-Luc Brunel,co-mentioned,1
Tony Blair,George Mitchell,co-mentioned,1
Tony Blair,Bill Richardson,co-mentioned,1
Jean-Luc Brunel,Sergey Brin,co-mentioned,1
Jean-Luc Brunel,Woody Allen,co-mentioned,1
Jean-Luc Brunel,Itzhak Perlman,co-mentioned,1
Jean-Luc Brunel,Rupert Murdoch,co-mentioned,1
Jean-Luc Brunel,Michael Jackson,co-mentioned,1
Sergey Brin,George Mitchell,co-mentioned,1
Sergey Brin,Bill Richardson,co-mentioned,1
Woody Allen,George Mitchell,co-mentioned,1
Julie K. Brown,Sergey Brin,co-mentioned,1
Lawrence Krauss,Sergey Brin,co-mentioned,1
Sergey Brin,Geoffrey Berman,co-mentioned,1
Sergey Brin,Robert Maxwell,co-mentioned,1
Sergey Brin,Ghislaine Maxwell,co-mentioned,1
Sergey Brin,Paul Cassell,co-mentioned,1
Laura Menninger,Paul Cassell,co-mentioned,1
Woody Allen,Bill Richardson,co-mentioned,1
George Mitchell,Itzhak Perlman,co-mentioned,1
George Mitchell,Rupert Murdoch,co-mentioned,1
George Mitchell,Michael Jackson,co-mentioned,1
Itzhak Perlman,Bill Richardson,co-mentioned,1
Rupert Murdoch,Bill Richardson,co-mentioned,1
Bill Richardson,Michael Jackson,co-mentioned,1
David Boies,Prince Andrew,co-mentioned,1
Jeffrey Epstein,Pam Bondi,co-mentioned,1
Pam Bondi,Alexander Acosta,co-mentioned,1
Pam Bondi,Miami Herald,co-mentioned,1
Pam Bondi,Julie K. Brown,co-mentioned,1
Alexander Acosta,Miami Herald,co-mentioned,1
Harvard University,Lawrence Krauss,co-mentioned,1
Annie Farmer,Virginia Giuffre,co-mentioned,1
Annie Farmer,Alison Nathan,co-mentioned,1
Zorro Ranch,Carolyn (Trial Witness),co-mentioned,1
Zorro Ranch,Alison Nathan,co-mentioned,1
Zorro Ranch,Jane (Trial Witness),co-mentioned,1
Virginia Giuffre,Carolyn (Trial Witness),co-mentioned,1
Virginia Giuffre,Alison Nathan,co-mentioned,1
Jeffrey Epstein,Jane (Trial Witness),co-mentioned,1
Carolyn (Trial Witness),Alison Nathan,co-mentioned,1
Alison Nathan,Jane (Trial Witness),co-mentioned,1
Annie Farmer,Southern District of New York (SDNY),co-mentioned,1
Annie Farmer,Kate (Trial Witness),co-mentioned,1
Annie Farmer,Robert Maxwell,co-mentioned,1
Annie Farmer,Federal Bureau of Investigation,co-mentioned,1
Carolyn (Trial Witness),Southern District of New York (SDNY),co-mentioned,1
Carolyn (Trial Witness),Kate (Trial Witness),co-mentioned,1
Carolyn (Trial Witness),Robert Maxwell,co-mentioned,1
Carolyn (Trial Witness),Federal Bureau of Investigation,co-mentioned,1
Southern District of New York (SDNY),Kate (Trial Witness),co-mentioned,1
Southern District of New York (SDNY),Jane (Trial Witness),co-mentioned,1
Southern District of New York (SDNY),Robert Maxwell,co-mentioned,1
Kate (Trial Witness),Jane (Trial Witness),co-mentioned,1
Kate (Trial Witness),Robert Maxwell,co-mentioned,1
Kate (Trial Witness),Federal Bureau of Investigation,co-mentioned,1
Jane (Trial Witness),Robert Maxwell,co-mentioned,1
Jane (Trial Witness),Federal Bureau of Investigation,co-mentioned,1
Robert Maxwell,Federal Bureau of Investigation,co-mentioned,1
Zorro Ranch,Great St. James Island,co-mentioned,1
Zorro Ranch,Leslie Wexner,co-mentioned,1
Zorro Ranch,Victoria's Secret,co-mentioned,1
Zorro Ranch,Bill Gates,co-mentioned,1
Zorro Ranch,Manhattan Townhouse,co-mentioned,1
Zorro Ranch,Harvard University,co-mentioned,1
Zorro Ranch,Steve Bannon,co-mentioned,1
Zorro Ranch,L Brands,co-mentioned,1
Zorro Ranch,Leon Black,co-mentioned,1
Zorro Ranch,MIT Media Lab,co-mentioned,1
Great St. James Island,Leslie Wexner,co-mentioned,1
Great St. James Island,Victoria's Secret,co-mentioned,1
Great St. James Island,Bill Gates,co-mentioned,1
Great St. James Island,Manhattan Townhouse,co-mentioned,1
Great St. James Island,Harvard University,co-mentioned,1
Great St. James Island,Steve Bannon,co-mentioned,1
Great St. James Island,L Brands,co-mentioned,1
Great St. James Island,Leon Black,co-mentioned,1
Great St. James Island,MIT Media Lab,co-mentioned,1
Leslie Wexner,Bill Gates,co-mentioned,1
Leslie Wexner,Harvard University,co-mentioned,1
Leslie Wexner,Steve Bannon,co-mentioned,1
Leslie Wexner,Leon Black,co-mentioned,1
Leslie Wexner,Little St. James Island,co-mentioned,1
Leslie Wexner,MIT Media Lab,co-mentioned,1
Victoria's Secret,Bill Gates,co-mentioned,1
Victoria's Secret,Harvard University,co-mentioned,1
Victoria's Secret,Steve Bannon,co-mentioned,1
Victoria's Secret,Leon Black,co-mentioned,1
Victoria's Secret,Little St. James Island,co-mentioned,1
Victoria's Secret,MIT Media Lab,co-mentioned,1
Bill Gates,Harvard University,co-mentioned,1
Bill Gates,Steve Bannon,co-mentioned,1
Bill Gates,L Brands,co-mentioned,1
Bill Gates,Leon Black,co-mentioned,1
Bill Gates,Little St. James Island,co-mentioned,1
Bill Gates,MIT Media Lab,co-mentioned,1
Manhattan Townhouse,Harvard University,co-mentioned,1
Manhattan Townhouse,Steve Bannon,co-mentioned,1
Manhattan Townhouse,Leon Black,co-mentioned,1
Manhattan Townhouse,Little St. James Island,co-mentioned,1
Manhattan Townhouse,MIT Media Lab,co-mentioned,1
Harvard University,Steve Bannon,co-mentioned,1
Harvard University,L Brands,co-mentioned,1
Harvard University,Leon Black,co-mentioned,1
Harvard University,Little St. James Island,co-mentioned,1
Harvard University,MIT Media Lab,co-mentioned,1
Steve Bannon,L Brands,co-mentioned,1
Steve Bannon,Leon Black,co-mentioned,1
Steve Bannon,Little St. James Island,co-mentioned,1
Steve Bannon,MIT Media Lab,co-mentioned,1
L Brands,Leon Black,co-mentioned,1
L Brands,Little St. James Island,co-mentioned,1
L Brands,MIT Media Lab,co-mentioned,1
Leon Black,Little St. James Island,co-mentioned,1
Leon Black,MIT Media Lab,co-mentioned,1
Little St. James Island,MIT Media Lab,co-mentioned,1
Virginia Giuffre,Alexander Acosta,co-mentioned,1
Teterboro Airport,Bill Clinton,co-mentioned,1
Teterboro Airport,Larry Visoski,co-mentioned,1
Teterboro Airport,Naomi Campbell,co-mentioned,1
Teterboro Airport,Chris Tucker,co-mentioned,1
Teterboro Airport,David Rodgers,co-mentioned,1
Teterboro Airport,Jean-Luc Brunel,co-mentioned,1
Teterboro Airport,Ghislaine Maxwell,co-mentioned,1
Teterboro Airport,"St. Thomas, USVI",co-mentioned,1
Teterboro Airport,Prince Andrew,co-mentioned,1
Teterboro Airport,Kevin Spacey,co-mentioned,1
Bill Clinton,Larry Visoski,co-mentioned,1
Larry Visoski,Naomi Campbell,co-mentioned,1
Larry Visoski,Chris Tucker,co-mentioned,1
Larry Visoski,Jean-Luc Brunel,co-mentioned,1
Larry Visoski,"St. Thomas, USVI",co-mentioned,1
Larry Visoski,Prince Andrew,co-mentioned,1
Larry Visoski,Kevin Spacey,co-mentioned,1
Naomi Campbell,Chris Tucker,co-mentioned,1
Naomi Campbell,David Rodgers,co-mentioned,1
Naomi Campbell,"St. Thomas, USVI",co-mentioned,1
Naomi Campbell,Kevin Spacey,co-mentioned,1
Chris Tucker,Jean-Luc Brunel,co-mentioned,1
Chris Tucker,"St. Thomas, USVI",co-mentioned,1
David Rodgers,Jean-Luc Brunel,co-mentioned,1
David Rodgers,"St. Thomas, USVI",co-mentioned,1
David Rodgers,Prince Andrew,co-mentioned,1
Jean-Luc Brunel,"St. Thomas, USVI",co-mentioned,1
Jean-Luc Brunel,Kevin Spacey,co-mentioned,1
Ghislaine Maxwell,"St. Thomas, USVI",co-mentioned,1
"St. Thomas, USVI",Prince Andrew,co-mentioned,1
"St. Thomas, USVI",Kevin Spacey,co-mentioned,1
David Boies,Robert Giuffre,co-mentioned,1
David Boies,Mar-a-Lago,co-mentioned,1
Courtney Wild,Alexander Acosta,co-mentioned,1
Courtney Wild,Haley Robson,co-mentioned,1
Courtney Wild,Juan Alessi,co-mentioned,1
Courtney Wild,Joseph Recarey,co-mentioned,1
Courtney Wild,Palm Beach Police Department,co-mentioned,1
Courtney Wild,Michael Reiter,co-mentioned,1
Haley Robson,Juan Alessi,co-mentioned,1
Juan Alessi,Joseph Recarey,co-mentioned,1
Juan Alessi,Palm Beach Police Department,co-mentioned,1
Juan Alessi,Michael Reiter,co-mentioned,1
Michael Baden,Metropolitan Correctional Center,co-mentioned,1
Ehud Barak,Manhattan Townhouse,co-mentioned,1
Courtney Wild,Jeffrey Epstein,co-mentioned,1
Donald Trump,Brad Edwards,co-mentioned,1
Virginia Giuffre,Brad Edwards,co-mentioned,1
Mar-a-Lago,Brad Edwards,co-mentioned,1
Bill Gates,Reid Hoffman,co-mentioned,1
Jeffrey Epstein,Reid Hoffman,co-mentioned,1
Laura Menninger,Robert Maxwell,co-mentioned,1
Robert Maxwell,Alison Moe,co-mentioned,1
Bill Clinton,Great St. James Island,co-mentioned,1
Bill Clinton,USVI Attorney General,co-mentioned,1
Great St. James Island,Marvin Minsky,co-mentioned,1
Marvin Minsky,"St. Thomas, USVI",co-mentioned,1
Marvin Minsky,USVI Attorney General,co-mentioned,1
Nadia Marcinkova,Alexander Acosta,co-mentioned,1
Alan Dershowitz,Lesley Groff,co-mentioned,1
Lesley Groff,Adriana Ross,co-mentioned,1
Alexander Acosta,Adriana Ross,co-mentioned,1
Alexander Acosta,Sarah Kellen,co-mentioned,1
Lesley Groff,Ghislaine Maxwell,co-mentioned,1
Richard Berman,David Boies,co-mentioned,1
Richard Berman,Sigrid McCawley,co-mentioned,1
Alan Dershowitz,Paul Cassell,co-mentioned,1
Alan Dershowitz,Brad Edwards,co-mentioned,1
Harvey Weinstein,Leon Black,co-mentioned,1
Alan Dershowitz,Robert Maxwell,co-mentioned,1
Bill Clinton,Steve Bannon,co-mentioned,1
Alexander Acosta,Jean-Luc Brunel,co-mentioned,1
David Boies,Julie K. Brown,co-mentioned,1
Julie K. Brown,Brad Edwards,co-mentioned,1
Leslie Wexner,Juan Alessi,co-mentioned,1
Bill Clinton,Leon Black,co-mentioned,1
Ghislaine Maxwell,Leon Black,co-mentioned,1
Bill Clinton,Lesley Groff,co-mentioned,1
Leslie Wexner,Lesley Groff,co-mentioned,1
Leslie Wexner,Alexander Acosta,co-mentioned,1
Chris Tucker,Lesley Groff,co-mentioned,1
Chris Tucker,Alexander Acosta,co-mentioned,1
Harvey Weinstein,Alexander Acosta,co-mentioned,1
Harvey Weinstein,David Boies,co-mentioned,1
Harvey Weinstein,Kevin Spacey,co-mentioned,1
Bill Clinton,David Boies,co-mentioned,1
Alexander Acosta,David Boies,co-mentioned,1
Alexander Acosta,Kevin Spacey,co-mentioned,1
David Boies,Kevin Spacey,co-mentioned,1
Alan Dershowitz,Julie K. Brown,co-mentioned,1
Larry Visoski,Juan Alessi,co-mentioned,1
Alan Dershowitz,Steve Bannon,co-mentioned,1
Donald Trump,Damian Williams,co-mentioned,1
George Mitchell,Leon Black,co-mentioned,1
Bill Clinton,Sigrid McCawley,co-mentioned,1
Alan Dershowitz,Laura Menninger,co-mentioned,1
Donald Trump,Chris Tucker,co-mentioned,1
Leslie Wexner,Robert Maxwell,co-mentioned,1
Leslie Wexner,Kevin Spacey,co-mentioned,1
Chris Tucker,George Mitchell,co-mentioned,1
Chris Tucker,Robert Maxwell,co-mentioned,1
George Mitchell,Robert Maxwell,co-mentioned,1
